id	title	runner	command	expect	assertion
E2E-001	Shell help	shell	help	help	Full command and pipe help is printed.
E2E-002	Shell show devices	shell	show devices	ok_or_clear	Connected agent table includes the selected serial.
E2E-003	Shell pipe no-more	shell	show devices | no-more	ok_or_clear	Output is unchanged and no pipe error is printed.
E2E-004	Shell pipe match except count	shell	show devices | match <serial> | except NO_MATCH | count	ok_or_clear	Prints `Count: 1 lines`.
E2E-005	Shell pipe display JSON	shell	show devices | display json	ok_or_clear	JSON device rows are printed.
E2E-006	Shell standalone status	shell	show standalone status	ok_or_clear	Standalone status renders.
E2E-007	Shell standalone config	shell	show config standalone	ok_or_clear	Standalone config renders.
E2E-008	Shell standalone clear all	shell	clear standalone runs all	ok_or_clear	Stored standalone runs are cleared.
E2E-009	Shell standalone festa enable	shell	config> set standalone festa smoke enabled	ok_or_clear	Standalone festa is enabled.
E2E-010	Shell standalone Wi-Fi essid	shell	"config> set standalone festa smoke wifi lab match essid ""<ssid>"""	ok_or_clear	Standalone Wi-Fi matches the test ESSID.
E2E-011	Shell standalone Wi-Fi passphrase	shell	config> set standalone festa smoke wifi lab passphrase <psk> security auto	ok_or_clear	Standalone Wi-Fi credential and security are stored.
E2E-012	Shell standalone ping check	shell	config> set standalone festa smoke check cloudflare test ping host 1.1.1.1 count 1 timeout 8000	ok_or_clear	Standalone ping check is configured.
E2E-013	Shell standalone run once	shell	request> standalone run once festa smoke save	ok_or_clear	A saved standalone archive is created with status OK.
E2E-014	Shell standalone runs	shell	show standalone runs limit 5 synced	ok_or_clear	Saved run list renders and includes the new run.
E2E-015	Shell Wi-Fi status	shell	show wifi status	ok_or_clear	Wi-Fi status renders without dispatch error.
E2E-016	Shell IP status	shell	show ip status	ok_or_clear	IP addressing, routes, DNS, and validation render without dispatch error.
E2E-017	Shell Wi-Fi diagnostics	shell	show wifi diagnostics	ok_or_clear	Diagnostics render status, capabilities, networks, and scan sections.
E2E-018	Shell Wi-Fi capabilities	shell	show wifi capabilities	ok_or_clear	Capabilities render supported/unsupported Wi-Fi features.
E2E-019	Shell Wi-Fi scan cached	shell	show wifi scan	ok_or_clear	Cached scan output renders.
E2E-020	Shell Wi-Fi scan band	shell	show wifi scan all	ok_or_clear	Cached scan output renders for all bands.
E2E-021	Shell Wi-Fi scan fresh	shell	show wifi scan fresh timeout 8000 all	ok_or_clear	Fresh scan completes or reports structured scan status.
E2E-022	Shell Wi-Fi scan detail	shell	"show wifi scan detail all ""<ssid>"""	ok_or_clear	Scan detail for the test SSID renders.
E2E-023	Shell Wi-Fi connect	shell	"request> wifi connect passphrase <psk> security auto timeout 25000 ""<ssid>"""	ok_or_clear	Device connects to the test SSID and reports a connect result.
E2E-024	Shell Wi-Fi wait	shell	"request> wifi wait connected ""<ssid>"" ip timeout 12000"	ok_or_clear	Wait condition reaches the test SSID with IP.
E2E-025	Shell Wi-Fi assert	shell	"request> wifi assert ssid ""<ssid>"" ip timeout 5000"	ok_or_clear	Assertion passes for the test SSID with IP.
E2E-026	Shell Wi-Fi reconnect	shell	request> wifi reconnect timeout 12000	ok_or_clear	Active Wi-Fi reconnect reaches connected state.
E2E-027	Shell Wi-Fi monitor	shell	request> monitor wifi duration 1500 interval 500	ok_or_clear	Wi-Fi event monitor returns without timeout error.
E2E-028	Shell Wi-Fi cycle	shell	"request> wifi cycle passphrase <psk> count 1 ping 1.1.1.1 pause 100 timeout 25000 ""<ssid>"""	ok_or_clear	One cycle connects, pings, and disconnects with pass count 1/1.
E2E-029	Shell Wi-Fi disconnect	shell	request> wifi disconnect	ok_or_clear	Disconnect command returns a structured operation result.
E2E-030	Shell Wi-Fi forget	shell	"request> wifi forget ""<ssid>"""	ok_or_clear	Saved test network is forgotten or best-effort success is reported.
E2E-031	Shell ping	shell	request> ping count 1 timeout 8000 1.1.1.1	ok_or_clear	Ping result status OK with transmitted/received counts.
E2E-032	Shell traceroute	shell	request> traceroute max-hops 30 timeout 60000 1.1.1.1	ok_or_clear	Traceroute result status OK or structured fallback reaches target.
E2E-033	Shell path MTU	shell	request> path-mtu min-mtu 576 max-mtu 1200 timeout 20000 1.1.1.1	ok_or_clear	Path MTU discovery succeeds.
E2E-034	Shell global IP	shell	request> global-ip ipv4 timeout 10000	ok_or_clear	Public IPv4 result renders.
E2E-035	Shell DNS	shell	request> dns type A timeout 8000 www.google.com	ok_or_clear	A record resolution succeeds.
E2E-036	Shell HTTP	shell	request> http expected-status 204 timeout 10000 http://connectivitycheck.gstatic.com/generate_204	ok_or_clear	HTTP status check matches 204.
E2E-037	Shell download	shell	request> download timeout 15000 https://example.com/	ok_or_clear	Download probe succeeds with 2xx/3xx status.
E2E-038	Shell quit	shell	quit	ok_or_clear	Shell exits cleanly.
E2E-039	Shell exit	shell	exit	ok_or_clear	Shell exits cleanly.
E2E-040	Shell rejects extra help argument	shell	help extra	error	`usage: help` parse error; shell continues.
E2E-041	Shell rejects extra show-devices argument	shell	show devices extra	error	`usage: show devices`.
E2E-042	Shell show standalone runs bad limit	shell	show standalone runs limit nope	error	Limit must be a positive integer.
E2E-043	Shell show standalone run missing	shell	"show standalone run """""	error	Standalone run id is required.
E2E-044	Shell set standalone enabled arity	shell	config> set standalone enabled interval 1s	error	Enabled takes no options.
E2E-045	Shell set standalone bad retention	shell	config> set standalone retention -1s	error	Invalid duration error.
E2E-046	Shell request standalone run arity	shell	request> standalone run once festa smoke save extra	error	Usage error.
E2E-047	Shell clear standalone bad mode	shell	clear standalone runs invalid	error	Clear mode must be `synced` or `all`.
E2E-048	Shell sync standalone bad limit	shell	sync standalone runs limit nope	error	Standalone sync limit parse error.
E2E-049	Shell show Wi-Fi status extra	shell	show wifi status extra	error	`usage: show wifi status`.
E2E-050	Shell show Wi-Fi scan duplicate band	shell	show wifi scan fresh all all	error	`wifi scan fresh band specified twice`.
E2E-051	Shell show Wi-Fi scan bad timeout	shell	show wifi scan fresh timeout nope all	error	Timeout must be a positive integer.
E2E-052	Shell show Wi-Fi scan detail missing target	shell	show wifi scan detail	error	Scan detail usage error.
E2E-053	Shell show Wi-Fi scan bad band	shell	show wifi scan nope	error	Unsupported/unknown Wi-Fi band error.
E2E-054	Shell Wi-Fi connect missing passphrase	shell	"request> wifi connect ""<ssid>"""	error	Missing passphrase error.
E2E-055	Shell Wi-Fi connect bad security	shell	"request> wifi connect passphrase <psk> security wep ""<ssid>"""	error	Unsupported Wi-Fi security error.
E2E-056	Shell Wi-Fi connect bad MAC mode	shell	"request> wifi connect passphrase <psk> mac-randomization weird ""<ssid>"""	error	Unsupported MAC randomization error.
E2E-057	Shell Wi-Fi wait duplicate SSID	shell	"request> wifi wait connected ""<ssid>"" ssid other"	error	Wi-Fi SSID specified twice.
E2E-058	Shell Wi-Fi assert bad token	shell	request> wifi assert bogus	error	Unknown expectation option error.
E2E-059	Shell Wi-Fi reconnect bad timeout	shell	request> wifi reconnect timeout 0	error	Timeout must be a positive integer.
E2E-060	Shell Wi-Fi cycle bad count	shell	"request> wifi cycle passphrase <psk> count 0 ""<ssid>"""	error	Count must be a positive integer.
E2E-061	Shell monitor Wi-Fi bad duration	shell	request> monitor wifi duration 0	error	Duration must be a positive integer.
E2E-062	Shell ping bad count	shell	request> ping count nope 1.1.1.1	error	Ping count must be a positive integer.
E2E-063	Shell ping extra positional	shell	request> ping 1.1.1.1 extra	error	Unexpected ping argument error.
E2E-064	Shell traceroute bad max-hops	shell	request> traceroute max-hops 0 1.1.1.1	error	Max hops must be a positive integer.
E2E-065	Shell path MTU bad minimum	shell	request> path-mtu min-mtu nope 1.1.1.1	error	Min MTU must be a positive integer.
E2E-066	Shell global IP duplicate family	shell	request> global-ip ipv4 ipv6	error	Family specified twice.
E2E-067	Shell global IP bad family	shell	request> global-ip family bad	error	Unsupported IP family error.
E2E-068	Shell DNS bad type	shell	request> dns type MX example.com	error	Unsupported DNS qtype error.
E2E-069	Shell HTTP bad status	shell	request> http expected-status nope https://example.com/	error	Expected status must be a positive integer.
E2E-070	Shell download missing URL	shell	request> download	error	Download usage error.
E2E-071	Shell pipe bad regex	shell	show devices | match [	error	Regex compile error.
E2E-072	Shell pipe unknown	shell	show devices | unknown	error	Unknown pipe error.
E2E-073	Shell quit extra	shell	quit now	error	`usage: quit`.
E2E-074	Shell exit extra	shell	exit now	error	`usage: exit`.
E2E-075	Parser full-line ASCII help token	shell-parser	?	help	Top-level help entries are printed; no command dispatch.
E2E-076	Parser full-line full-width help token	shell-parser	？	help	Top-level help entries are printed; no command dispatch.
E2E-077	Parser context help after command prefix	shell-parser	show wifi ?	help	Contextual choices for `status`, `diagnostics`, `scan`, `capabilities`.
E2E-078	Parser value completion help	shell-parser	request> wifi connect security ?	help	Security candidates include `auto`, `wpa2`, `wpa3`, `transition`.
E2E-079	Parser help suffix after value-taking option	shell-parser	show wifi scan fresh timeout ?	help	Placeholder/help for timeout value, not a missing-value parse error.
E2E-080	Shell resolves unique command prefixes	shell	sho wi sta	ok_or_clear	Unique prefixes resolve to `show wifi status` and return Wi-Fi status.
E2E-081	Parser rejects ambiguous command prefixes	shell-parser	show wifi s	error	Ambiguous prefix error for `status` vs `scan`.
E2E-082	Parser rejects unterminated quotes	shell-parser	"show wifi status """	error	Unterminated quote parse error.
E2E-083	Parser empty quoted positional	shell-parser	"request> wifi connect """" passphrase <psk>"	error	Missing/empty SSID error.
E2E-084	Parser quoted pipe handling	shell-parser	"show wifi scan detail ""Example|SSID"""	ok	The pipe inside quotes is part of the argument, not a pipeline delimiter.
E2E-085	Parser empty pipe stage	shell-parser	show devices |	error	Pipeline usage/error for empty stage.
E2E-086	Parser pipe command arity	shell-parser	show devices | count extra	error	`count` rejects extra arguments.
E2E-087	Parser missing regex value	shell-parser	show devices | match	error	`match` requires a regex value.
E2E-088	Parser regex compile error	shell-parser	"show devices | except ""["""	error	Invalid regex error.
E2E-089	Parser display value validation	shell-parser	show devices | display xml	error	`display` rejects unsupported format.
E2E-090	Parser display arity	shell-parser	show devices | display json extra	error	`display` rejects extra argument.
E2E-091	Shell case-insensitive regex	shell	"show devices | match ""(?i)pixel"""	ok_or_clear	Matching output contains the Pixel device row.
E2E-092	Shell pipeline order after display	shell	show devices | display json | count	ok_or_clear	Command succeeds and counts JSON lines.
E2E-093	Shell rejects display after count	shell	show devices | count | display json	error	`display json` after `count` is rejected with a shell error.
E2E-094	Parser unknown pipe stage	shell-parser	show devices | unknown	error	Unsupported pipe command error.
E2E-095	Shell synced flag alone	shell	show standalone runs synced	ok_or_clear	Runs list includes synced records if present, otherwise empty list succeeds.
E2E-096	Shell option order with flag before value	shell	show standalone runs synced limit 1	ok_or_clear	Runs list limited to 1 with synced records included.
E2E-097	Shell option order with value before flag	shell	show standalone runs limit 1 synced	ok_or_clear	Runs list limited to 1 with synced records included.
E2E-098	Parser rejects duplicate synced flags	shell-parser	show standalone runs synced synced	error	Duplicate `synced` flags are rejected.
E2E-099	Parser rejects duplicate limit values	shell-parser	show standalone runs limit 1 limit 2	error	Duplicate `limit` values are rejected.
E2E-100	Parser empty run id	shell-parser	"show standalone run """""	error	Standalone run id is required.
E2E-101	Shell default clear mode	shell	clear standalone runs	ok_or_clear	Clears only synced runs; unsynced runs remain.
E2E-102	Shell explicit clear mode	shell	clear standalone runs synced	ok_or_clear	Explicit synced clear succeeds.
E2E-103	Parser clear arity	shell-parser	clear standalone runs synced all	error	Usage error; only one clear mode.
E2E-104	Parser delete festa parser	shell-parser	config> delete standalone festa smoke	ok	Delete standalone festa parses to a standalone config edit.
E2E-105	Shell accepts day retention duration	shell	config> set standalone retention 2d	ok_or_clear	Config accepts day durations.
E2E-106	Shell accepts gigabyte store size	shell	config> set standalone max-size 1g	ok_or_clear	Config accepts gigabyte suffix.
E2E-107	Parser enabled arity	shell-parser	config> set standalone enabled interval 1s	error	Enabled takes no options.
